(14699, 1314, -2873, -6510) (536, 487, 1712)
(14693, 1352, -2894, -6508) (484, 711, 1694)
(14691, 1327, -2891, -6517) (498, 520, 1757)
(14690, 1300, -2892, -6524) (515, 486, 1795)
(14687, 1284, -2898, -6533) (519, 568, 1810)
(14686, 1259, -2900, -6539) (513, 534, 1789)
(14687, 1230, -2904, -6541) (540, 442, 1741)
(14687, 1207, -2904, -6545) (506, 546, 1769)
(14689, 1170, -2901, -6548) (541, 485, 1755)
(14692, 1146, -2892, -6550) (487, 513, 1796)
(14695, 1133, -2893, -6544) (526, 509, 1728)
(14699, 1132, -2891, -6538) (494, 556, 1758)
(14702, 1122, -2887, -6534) (504, 521, 1757)
(14705, 1113, -2884, -6529) (502, 504, 1749)
(14707, 1107, -2882, -6528) (488, 527, 1732)
(14709, 1093, -2877, -6528) (500, 496, 1732)
(14710, 1082, -2870, -6529) (497, 510, 1736)
(14711, 1070, -2861, -6533) (504, 532, 1707)
(14713, 1051, -2842, -6539) (526, 620, 1758)
pose Pose.REST
(14716, 1034, -2797, -6556) (479, 619, 1840)
(14716, 1034, -2746, -6578) (335, 504, 1919)
(14711, 981, -2716, -6608) (464, 322, 1702)
(14703, 918, -2694, -6644) (524, 314, 1677)
(14702, 884, -2672, -6660) (519, 459, 1748)
(14704, 815, -2643, -6677) (486, 473, 1817)
(14698, 691, -2602, -6720) (506, 342, 1800)
(14694, 563, -2572, -6752) (684, 188, 1776)
(14692, 513, -2563, -6763) (668, 48, 1690)
(14686, 523, -2554, -6779) (426, 469, 1817)
(14684, 493, -2524, -6797) (403, 541, 1890)
(14689, 421, -2492, -6804) (525, 192, 1786)
pose Pose.FIST
(14699, 410, -2474, -6788) (532, 132, 1704)
(14712, 463, -2466, -6759) (482, 311, 1734)
(14731, 511, -2451, -6720) (529, 370, 1800)
(14753, 540, -2432, -6676) (577, 371, 1830)
(14780, 544, -2408, -6625) (637, 282, 1829)
(14810, 542, -2386, -6566) (727, 180, 1843)
(14842, 557, -2370, -6497) (741, 143, 1826)
(14874, 610, -2363, -6421) (730, 306, 1825)
